S.No.,Name,CMP Rs.,Mar Cap Rs.Cr.,Graham's Number Rs.,Piotski Scr,Face value Rs.,CMP Upside Potential %,52w High Rs.,QoQ Profits %,Qtr Profit Var %,Profit Var 3Yrs %,P/E,Trd Qty,ROCE 3Yr %,Exp Qtr NP Rs.Cr.,CP above GN %,ROE %,ROE 3Yr %,Debt / Eq
37.,Mishra Dhatu Nig,191.90,3595.05,91.65,6.00,10.00,45.28,278.80,3640.22,-9.15,8.12,27.12,393482,22.26,36.34,2.09,17.81,16.99,0.15
38.,CARE Ratings,501.80,1478.36,339.07,4.00,10.00,44.88,727.00,279.25,-2.40,-16.17,18.76,356739,32.95,12.81,1.48,16.08,23.44,0.00
39.,Kilpest India,358.50,269.17,588.18,7.00,10.00,44.21,517.00,120.08,2555.11,89.50,2.96,42120,28.55,31.53,0.61,28.16,26.16,0.02
40.,Astec Lifescienc,949.10,1858.18,355.31,6.00,10.00,44.03,1367.00,10.32,238.07,21.75,24.01,99783,20.94,22.16,2.67,21.23,20.51,0.36
41.,V I P Inds.,361.45,5107.91,,5.00,2.00,43.84,519.90,31.04,-207.50,19.90,,635037,35.10,-136.18,,24.68,26.53,0.74
42.,Aarti Drugs,715.05,6664.27,228.32,8.00,10.00,43.62,1026.95,-11.91,132.96,19.77,27.33,852870,18.32,76.93,3.13,23.08,20.16,0.42
43.,Engineers India,74.20,4688.78,70.99,6.00,5.00,43.33,106.35,85.59,32.63,8.58,12.76,4655114,25.19,97.56,1.05,17.78,16.06,0.00
44.,Hind.Oil Explor.,76.65,1013.64,89.63,4.00,10.00,42.86,109.50,-3.47,-67.45,149.38,15.16,775357,20.98,8.96,0.86,18.28,20.83,0.10
45.,Dwarikesh Sugar,29.45,554.55,52.98,3.00,1.00,42.78,42.05,-1.99,275.05,-21.80,6.55,1490999,12.55,28.55,0.56,15.52,22.22,0.95
46.,Saksoft,317.25,332.80,435.06,6.00,10.00,40.90,447.00,5.92,9.94,24.38,8.27,22242,24.89,12.08,0.73,20.27,20.66,0.12
47.,T.V. Today Netw.,203.10,1211.87,245.27,5.00,5.00,40.60,285.55,117.40,20.56,13.49,11.45,179057,27.10,42.12,0.83,15.76,17.47,0.02
48.,Caplin Point Lab,489.65,3703.85,301.42,5.00,2.00,40.10,686.00,4.33,9.73,30.15,16.45,224671,46.33,72.91,1.62,30.82,36.69,0.02
49.,HDFC AMC,2538.80,54059.10,501.82,6.00,5.00,39.86,3550.75,11.81,-8.20,31.89,43.50,572782,50.87,378.75,5.06,35.56,36.08,0.00
50.,Security & Intel,446.65,6567.72,199.53,4.00,5.00,39.73,624.10,88.28,41.89,26.83,27.33,472051,17.75,77.55,2.24,16.96,18.40,0.36
51.,H.G. Infra Engg.,211.70,1379.67,261.17,7.00,10.00,39.32,294.95,89.91,-7.41,46.05,9.48,143552,24.29,46.60,0.81,22.42,22.21,0.58
52.,Kothari Petroche,15.65,92.09,33.23,7.00,10.00,39.30,21.80,609.18,5.95,43.86,5.85,93003,18.05,4.20,0.47,18.57,15.62,0.02
53.,Triveni Turbine,74.55,2410.24,34.11,8.00,1.00,39.24,103.80,-10.50,-26.28,-1.58,22.93,72714,33.12,27.22,2.19,24.18,22.90,0.00
54.,Finolex Cables,308.80,4722.77,282.55,6.00,2.00,39.23,429.95,97.48,-43.89,8.43,15.65,646627,22.28,60.71,1.09,15.61,15.98,0.00
55.,Kaveri Seed Co.,490.80,2960.95,512.37,8.00,2.00,39.06,682.50,-92.06,73.08,20.30,8.81,263045,21.50,6.22,0.96,22.51,20.53,0.00
56.,Mangalam Organic,443.55,379.88,474.41,5.00,10.00,38.44,614.05,83.01,-11.87,126.02,8.17,10078,49.10,9.96,0.93,38.56,49.06,0.00
